,Title,Label,Type,Price,Location,Baths,Area,Purpose,Bedroom(s),Added,Description,Main Features,Rooms,Business and Communication,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities,Popular,Source,Time Stamp
399,Brand New Triple Storey 30x60 House For Sale With 6 Bedrooms In G13 Islamabad,"G-13, Islamabad, Islamabad Capital",House,PKR   3.3 Crore,"G-13, Islamabad, Islamabad Capital",6,8 Marla,For Sale,6,2 days ago,"Beautifully made house with elegant design on ideal location6 Bedrooms with attached washrooms Kitchen TV Lounge Drawing Room Car porch Separate Gas and Electricity meter Gas +Water supply +Water boreEquipped with all facilities Near to main Double Road and Kashmir HighwayAvailable at most reasonable priceMOUNT PAKISTAN, the most prestigious and trusted real estate agency and builders of PakistanPlease don’t hesitate to call for more information or to schedule a meeting with us"," Built in year: 2018 , Parking Spaces: 3 , Flooring , Electricity Backup , Waste Disposal , Floors: 3"," Bedrooms: 6 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 3 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Other Business and Communication Facilities", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Other Facilities",,Islamabad-3-16,3/31/2019 23:27
400,Brand New 25x40 House For Sale With 3 Bedrooms In G13 Islamabad,"G-13, Islamabad, Islamabad Capital",House,PKR   1.55 Crore,"G-13, Islamabad, Islamabad Capital",3,4 Marla,For Sale,3,2 days ago,"Beautifully made house with elegant design on ideal location3 Bedrooms with attached washrooms 2 Kitchen 2 TV Lounge Drawing Room Car porch Separate Gas and Electricity meter Gas +Water supply +Water boreEquipped with all facilities Near to main Double Road and Kashmir HighwayAvailable at most reasonable priceMOUNT PAKISTAN, the most prestigious and trusted real estate agency and builders of PakistanPlease don’t hesitate to call for more information or to schedule a meeting with us"," Built in year: 2018 , Parking Spaces: 1 , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 3 , Bathrooms: 3 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Other Facilities",,Islamabad-3-16,3/31/2019 23:27
401,4 Kanal Brand New Luxury Specious Elegant Best Quality Fully Furnished House For Sale In Very Hot Location,"Naval Anchorage, Islamabad, Islamabad Capital",House,PKR   12.5 Crore,"Naval Anchorage, Islamabad, Islamabad Capital",10,4 Kanal,For Sale,9,1 week ago,"Sami Associates Your trusted partner in real estate Proudly Offer You a 4 Kanal Brand New Luxury Specious Elegant Best Quality Fully Furnished House For Sale In Very Hot Location Of Naval Anchorage, Islamabad  House Features * 9 Bedrooms With Attach Washrooms With Equipped eith imported fitting/ Spanish Tiles Used In Washrooms * 2 Powder Rooms are Compeletely Coverd By Spanish Tiles   * 2 S/Q With Washrooms (A Mid Size Family can easily live in it) * 2 Store  * 2 Stylish Kitchens * Big Lounges* Huge Parking Space For 4 Cars * Washing Area Is Elegently Managed At The Back Side Of house* Complete Wiring Of UPS And GENERATOR Done In the House* Solid Steel Work Used For Outside MAIN GATE * Solid Stairs Built With Steel Frame Work And Granite Used In Outer* Double Glace Windows for Sound Proofing* Season Protection Sheets Installed In All Over House * Seepage Propetection Installed In All Over the House * Fall Ceiling Done All Over the House* Solid Steel Work Used In Cabinets * Copelete MArble/Tiles And Wooden Flooring * Near To Mosque  * Near To Park* Beautiful Finishing* Commercial Area is Very Near to Premises* Owner Built House * Direct Meeting with owner* Brand New * Clean And Airy House * Solid Construction * Very Reasonable Price * House Is Designed Very Beautifully * All Basic Facilities are also available in here. It is the only housing scheme, in which you can enjoy Luxuries of life Very economically. If You Are Interested In This Property You May Contact Our Staff Sami Associate We Will Guide And Stree You Towards Right Direction About Were And How To Invest That Will Give You Optimum Results as Profit Margine. Peace Full Society And State Of The Art Facilities Like Daffodils Already Very Popular SocietyBest Returns In Future For Anyone Planing To Enter The Real Estate Sector , Either For Investment Or Residential Pirpose , NOW Is The Right Time To Do It. Sami Associates Has Given a Signification Boost To The Sami Associates. The Poperty Values Have Gone Up In The Recent Years And The Recent Years Trend Is Going To Continue In The Foreseeable Future . For More Options are Available according to Your budget. Sami AssociatesTHE BEST REAL ESTATE SERVICES IN: BAHRIA TOWN , DHA , GULBURG RESIDANCIA , NAVAL FARMS HOUSING SCHEME , NAVAL ANCHORAGE. . . . . . ,,,!!!""Call For The Best Deal In Town""Our Staff Sami Associate Will Guide And Stree You Towards Right Direction About Were And How To Invest That Will Give You Optimum Results as Profit Margine. Peace Full Society And State Of The Art Facilities Like Daffodils Already Very Popular SocietyBest Returns In Future For Anyone Planing To Enter The Real Estate Sector , Either For Investment Or Residential Pirpose , NOW Is The Right Time To Do It. Sami Associates Has Given a Signification Boost To The Sami Associates. The Poperty Values Have Gone Up In The Recent Years And The Recent Years Trend Is Going To Continue In The Foreseeable Future ."," Built in year: 2019 , Parking Spaces: 8 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 3 , Other Main Features , Furnished"," Bedrooms: 9 , Bathrooms: 10 , Servant Quarters: 3 , Drawing Room , Dining Room , Kitchens: 3 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms: 1 , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",hot,Islamabad-3-17,3/31/2019 23:28
402,4 Kanal Brand New Luxury Specious Elegant Best Quality Fully Furnished House For Sale In Very Hot Location,"Naval Anchorage, Islamabad, Islamabad Capital",House,PKR   10 Crore,"Naval Anchorage, Islamabad, Islamabad Capital",10,2 Kanal,For Sale,11,1 week ago,"Sami Associates Your trusted partner in real estate Proudly Offer You a 2 Kanal Brand New Luxury Specious Elegant Best Quality Fully Furnished House For Sale In Very Hot Location Of Naval Anchorage, Islamabad  House Features * 15 Bedrooms With Attach Washrooms With Equipped eith imported fitting/ Spanish Tiles Used In Washrooms * 3 Powder Rooms are Compeletely Coverd By Spanish Tiles   * 2 S/Q With Washrooms (A Mid Size Family can easily live in it) * 2 Store  * 2 Stylish Kitchens * Big Lounges* 2 Huge Parking Space For 8 Cars * Washing Area Is Elegently Managed At The Back Side Of house* Complete Wiring Of UPS And GENERATOR Done In the House* Solid Steel Work Used For Outside MAIN GATE * Solid Stairs Built With Steel Frame Work And Granite Used In Outer* Double Glace Windows for Sound Proofing* Season Protection Sheets Installed In All Over House * Seepage Propetection Installed In All Over the House * Fall Ceiling Done All Over the House* Solid Steel Work Used In Cabinets * Copelete MArble/Tiles And Wooden Flooring * Near To Mosque  * Near To Park* Beautiful Finishing* Commercial Area is Very Near to Premises* Owner Built House * Direct Meeting with owner* Brand New * Clean And Airy House * Solid Construction * Very Reasonable Price * House Is Designed Very Beautifully * All Basic Facilities are also available in here. It is the only housing scheme, in which you can enjoy Luxuries of life Very economically. If You Are Interested In This Property You May Contact Our Staff Sami Associate We Will Guide And Stree You Towards Right Direction About Were And How To Invest That Will Give You Optimum Results as Profit Margine. Peace Full Society And State Of The Art Facilities Like Daffodils Already Very Popular SocietyBest Returns In Future For Anyone Planing To Enter The Real Estate Sector , Either For Investment Or Residential Pirpose , NOW Is The Right Time To Do It. Sami Associates Has Given a Signification Boost To The Sami Associates. The Poperty Values Have Gone Up In The Recent Years And The Recent Years Trend Is Going To Continue In The Foreseeable Future . For More Options are Available according to Your budget. Sami AssociatesTHE BEST REAL ESTATE SERVICES IN: BAHRIA TOWN , DHA , GULBURG RESIDANCIA , NAVAL FARMS HOUSING SCHEME , NAVAL ANCHORAGE. . . . . . ,,,!!!""Call For The Best Deal In Town"""," Built in year: 2019 , Parking Spaces: 8 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 3 , Other Main Features , Furnished"," Bedrooms: 15 , Bathrooms: 18 , Servant Quarters: 3 , Drawing Room , Dining Room , Kitchens: 3 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms: 3 , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",hot,Islamabad-3-17,3/31/2019 23:28
403,G101 3055 NEW HOUSE FOR SALE PARK FACE CORNER FRONT OPEN,"G-10/1, G-10, Islamabad, Islamabad Capital",House,PKR   3.15 Crore,"G-10, Islamabad, Islamabad Capital",6,7.3 Marla,For Sale,5,1 week ago,"G-10/1 NEW HOUSE 3O/55 CORNER PARK FACE FRONT OPEN EXCELLTLOCATION EXCELLANT WOOD WORK SOLID AND LONG LIFE CONSTRUCTION IMPORTED FITTING ALL FACILTIES AVAILABLE DEMAND31500000,,"," Parking Spaces: 3 , Central Heating , Flooring , Floors: 2 , Other Main Features"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Kitchens: 2 , Study Room , Lounge or Sitting Room , Other Rooms", Satellite or Cable TV Ready, Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Other Facilities",hot,Islamabad-3-17,3/31/2019 23:28
404,E113 house 6 Bed 500 ghaz brand new ideal location 6 demand 500 ghaz 3 story 9 bedroom 650 many more option call for more information about 10 houses available owner build,"MPCHS - Islamabad Garden, E-11/3, E-11, Islamabad, Islamabad Capital",House,PKR   6 Crore,"E-11, Islamabad, Islamabad Capital",6,2.2 Marla,For Sale,6,1 week ago,E-11/3 house 6 Bed 500 ghaz brand new ideal location 6 demand 500 ghaz 3 story 9 bedroom 6. 50 many more option call for more information about 10 houses available owner build50x90     60x90    40x80     35x70     30x60   25x60," Built in year: 2018 , Parking Spaces: 5 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Floors: 2"," Bedrooms: 6 , Bathrooms: 6 , Servant Quarters: 2 , Drawing Room , Dining Room , Kitchens: 2 , Powder Room  , Store Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled",hot,Islamabad-3-17,3/31/2019 23:28
405,30x60 Brand New House Is Available For Sale,"G-13/2, G-13, Islamabad, Islamabad Capital",House,PKR   2.35 Crore,"G-13, Islamabad, Islamabad Capital",6,8 Marla,For Sale,5,1 week ago,"30x60 Brand New House Is Available For Sale. Ideal Location. Solid Construction Near To Main Market Owners Build House Near To Masjid Carpet Road Reasonable Price Direct Deal With Owner Please Feel Free To Call Us If You Need Further Details About It. We Request That Only Serious Individuals Contact Us To Make An Immediate Deal, And Please Do Not Forget To Mention Zameen. com When Calling."," Built in year: 2019 , Parking Spaces , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 4 , Bathrooms: 5 , Servant Quarters , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Other Facilities",hot,Islamabad-3-17,3/31/2019 23:28
406,Size 30x60 Brand new House Is Available For Sale At G13,"G-13/2, G-13, Islamabad, Islamabad Capital",House,PKR   2.6 Crore,"G-13, Islamabad, Islamabad Capital",6,8 Marla,For Sale,5,1 week ago,"Owner Built Beautiful brand new elegant, decent, lavish, practical and magnificent house for sale. A gift for those families who are seeking a lavish and practical living in ISB. Most desirable life style. Clean, energy efficient, peaceful environment and healthier living in general. Green atmosphere. Feel safe and secure in your neighborhood. Imported tiles rain shower, glass cabin bathroom with imported fitting and fixtures. Beautiful electric fittings. fully loaded kitchen with all modern and imported appliances. Excellent interior out class fall ceiling design. Marble/tiles flooring. Brilliant DIYAR wooden work in whole house. Near Kashmir highway, Near Double road, Near to new Airport Islamabad. Direct approach from anywhere with in a couple of minutes. House Features:size 30x60 Ground portion2 bedroom3 bathroom1 kitchenDrawing DinningTV LoungeLobbyStudiesIron areaLaundrycourtyardsBar. B. Q area in houseUpper portion3 bedroom3 bathroom 1 kitchenDrawing/DinningLoungePrayer areaGYM roomDelightful TerraceMumty with Attached bathroom and servant quarter Small garden outside the entranceHuge car parkingWater filtration plant 5 mint a way from location. All facilities are available at your door step. Commercial area is very near to premises. Approachable McDonald, Hospital, Park with jogging track etc Separate Gas and Electricity meter Gas +Water supply +Water boreEquipped with all facilities"," Built in year: 2019 , Parking Spaces , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Other Facilities",hot,Islamabad-3-17,3/31/2019 23:28
407,Brand New Double Storey House Is Available For Sale,"Soan Garden, Islamabad, Islamabad Capital",House,PKR   1.2 Crore,"Soan Garden, Islamabad, Islamabad Capital",6,6.7 Marla,For Sale,4,1 week ago,Brand New Double Storey House Is Available For Sale  Beautiful LocationBest option for living purpose. Available at reasonable demandPlease call us for more details. Do not forget to mention Zameen. com while calling," Built in year: 2018 , Parking Spaces: 2 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 4 , Bathrooms: 6 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Powder Room  , Store Rooms: 1 , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms", Other Business and Communication Facilities, ," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",hot,Islamabad-3-17,3/31/2019 23:28
408,Corner 10 Marla Double Unit Structure House,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",House,PKR   1.6 Crore,"DHA Defence, Islamabad, Islamabad Capital",4,10 Marla,For Sale,4,1 week ago,"10 Marla Double Unit  Corner  Structure is for Sale in DHA-2 Sector A. available at investor price. asking is  16000000. After finishing Handsome Rental Value. Best option for investment as well as for personal living. FEATURES OF THIS PROPERTY :> 4 Beds with attach Bath. > 2 Kitchens> 2 Amazing TV Lounges. > Drawing / Dining. > Wonderful Terrace. > Car Porch. House is very near to the Masjid. House is located on the most prime location & very near to Schools, Commercial,Family Park etc."," Built in year: 2015 , Parking Spaces: 2 , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 4 , Bathrooms: 4 , Servant Quarters: 1 , Drawing Room , Kitchens: 2 , Store Rooms: 2 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready", ," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service", Security Staff,hot,Islamabad-3-17,3/31/2019 23:28
409,9 Marla Double Storey 5 Bed House Available In Pwd Housing Society Islamabad,"PWD Housing Scheme, Islamabad, Islamabad Capital",House,PKR   1.5 Crore,"PWD Housing Scheme, Islamabad, Islamabad Capital",6,9 Marla,For Sale,5,1 week ago,9 Marla Double Story Quality House For Sale in PAK PWD Housing Society Islamabad. 40 feet wide Street. 2 Years Old Good Condition House. 5 Bed Rooms with tiles Bathrooms. Double Kitchens. Double Drawing and TV Lounges. Servant Quarter. 3 Cars Capacity in Parking Area. Fully Marble and Tiles Flooring. Please Feel free to call us if you want further information and Please Mention Zameen. Com When Calling You.," Built in year: 2016 , Parking Spaces , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 5 , Bathrooms: 7 , Servant Quarters , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Store Rooms , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Other Business and Communication Facilities", ," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",hot,Islamabad-3-17,3/31/2019 23:28
410,10 Marla Double Story House For Sale,"National Police Foundation O-9, Islamabad, Islamabad Capital",House,PKR   1.5 Crore,"National Police Foundation O-9, Islamabad, Islamabad Capital",6,10.1 Marla,For Sale,5,1 week ago,10 Marla Double Story Brand New House Available in National Police Foundation 0/9 Link Pwd Society and Bahria Town Islamabad. House Size 35*65Having Beautiful 5 Bed Rooms with 6 Tiles Washrooms. Double Kitchens. Drawing and TV Lounges. Servant Quarter. Big Parking Space. Very Near To Masjid and Commercial Area. 50 feet wide Street. Sun Face House. Please Call For Further Information.," Built in year: 2018 , Parking Spaces , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features , Furnished"," Bedrooms , Bathrooms , Servant Quarters , Drawing Room , Dining Room , Kitchens , Study Room , Prayer Room , Powder Room  , Store Rooms , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready"," Lawn or Garden , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",hot,Islamabad-3-17,3/31/2019 23:28
411,5 Marla Double Story Owner Built House,"Pakistan Town, Islamabad, Islamabad Capital",House,PKR   1.15 Crore,"Pakistan Town, Islamabad, Islamabad Capital",5,5 Marla,For Sale,4,1 week ago,5 Marla Double Story Quality House Available in Pakistan Town Islamabad. Owner built house. 25*50 Size Having Beautiful 4 Bed Rooms with tiles Bathrooms. Double Kitchens. Drawing and TV Lounges. Store Room. 30 feet Carpeted Street. Very Near To Masjid and Commercial Area. Sun Face House.  Water Bour Gass Electric Already Installed. Please Call For Further information.," Built in year: 2016 , Parking Spaces , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms , Bathrooms , Drawing Room , Kitchens , Powder Room  , Store Rooms , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Other Business and Communication Facilities", Other Healthcare and Recreation Facilities," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",hot,Islamabad-3-17,3/31/2019 23:28
412,G10 Beautiful Brand New House for Sale,"G-10, Islamabad, Islamabad Capital",House,PKR   3.25 Crore,"G-10, Islamabad, Islamabad Capital",4,3.7 Kanal,For Sale,4,1 week ago,"G-10 Beautiful Brand New House for Sale 4 Bedroom with Attach Bathroom2 T v Lounge Drawing Dinning 2KitchenStore Corner House –Tile Floor Beautiful Terrace Laundry Area Reasonable Demand – 3,2500000For more details and Visit contact Us", ," Bedrooms: 4 , Bathrooms: 4 , Drawing Room , Kitchens: 2 , Powder Room  , Steam Room , Lounge or Sitting Room , Laundry Room", , , , ,hot,Islamabad-3-17,3/31/2019 23:28
413,5 marla double story house availabe for sale Ghauri Town phase 5 Islamabad,"Ghauri Town, Islamabad, Islamabad Capital",House,PKR   1.1 Crore,"Ghauri Town, Islamabad, Islamabad Capital",5,5 Marla,For Sale,4,1 week ago,"5 marla double story house availabe for sale Ghauri Town phase 5, Islamabad - 40Ground Floor:2 bed, 3 bath, dd, tvl, Kitchen, Car porch Beauritful houseFirst Floor:2 bed, 2 bath, dd, tvl, Kitchen, Car porch Beauritful houseTop Floor:big MumtyNearby School, Hospitals, Shoping Centre , Public TransportElectric, Water supply available, gas meter is not yet installed, but gas connection borrowed from the neighbourWe have also other houses 3, 4, 5, 7, 10 marla Single and double story houses according to your budget and requirementWe also deal in rental houses and sale purchase of residential and Commercial plotsWe ensure your secure and profitable investment and best living opportunityPlease feel free to contact for further detailsMuhammad FayyazHamdaan AssociatesAfridi PlazaGhauri Town phase 5, Islamabad"," Built in year: 2015 , Parking Spaces , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 4 , Bathrooms: 5 , Servant Quarters , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Store Rooms , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready", ," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service", Security Staff,hot,Islamabad-3-17,3/31/2019 23:28
414,5 marla Tripple story house for sale phase 5 Ghauri Town Islamabad,"Ghauri Town, Islamabad, Islamabad Capital",House,PKR   1.3 Crore,"Ghauri Town, Islamabad, Islamabad Capital",6,5 Marla,For Sale,6,1 week ago,"5 marla Tripple story house for sale phase 5 Ghauri Town Islamabad - 41Ground Floor:2 bed, 3 bath, dd, tvl, Kitchen, Car porch Beauritful houseFirst Floor:2 bed, 2 bath, dd, tvl, Kitchen,Second Floor:2 bed, 1 bath, kitchen, Tvl, open spaceNearby School, Hospitals, Shoping Centre , Public TransportElectricity, water and gas every facility availableWe have also other houses 3, 4, 5, 7, 10 marla Single and double story houses according to your budget and requirementWe also deal in rental houses and sale purchase of residential and Commercial plotsWe ensure your secure and profitable investment and best living opportunityPlease feel free to contact for further detailsMuhammad FayyazHamdaan AssociatesAfridi PlazaGhauri Town phase 5, Islamabad"," Built in year: 2018 , Parking Spaces , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 3"," Bedrooms: 6 , Bathrooms: 6 , Servant Quarters , Drawing Room , Dining Room , Kitchens: 3 , Study Room , Prayer Room , Store Rooms , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready", ," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service", Security Staff,hot,Islamabad-3-17,3/31/2019 23:28
415,one knal beautiful newly design House for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",House,PKR   3.5 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,1 week ago,one knal beautiful newly design House in very reasonable price for sale," Built in year: 2019 , Parking Spaces: 3 , Double Glazed Windows , Flooring , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 6 , Bathrooms: 7 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room", , Other Healthcare and Recreation Facilities," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service"," Maintenance Staff , Security Staff , Facilities for Disabled",hot,Islamabad-3-17,3/31/2019 23:28
416,LUXURY HOUSE KANAL SECTOR C,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",House,PKR   3.55 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,1 week ago,HOUSE AVAILABLE ON VERY REASONABLE DEMANDNEAR TO GT AND SCHOOL AND COMMERCIALNOT NEW 3 YEAR OLD HOUSE BUT  IN GOOD CONDITIONALL HIGH STANDARD LIVING FACILITIES AVAILABLE IN DHA 24 HOUSE DHA OWN SECURITY. FURTHER DETAILS CONTACT US," Built in year: 1 , Flooring , Waste Disposal , Floors: 2"," Bedrooms: 6 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 1 , Store Rooms: 1", , , , ,hot,Islamabad-3-17,3/31/2019 23:28
417,10 marla beautifull house on Good location,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",House,PKR   2.8 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,10 Marla,For Sale,6,1 week ago,"House contain double story,6 spacious bed, drawing dining, kitchen, servant quarter  and basement as well on main BlVd. Home At Very Pleasant And Peaceful Side With Friendly And Most And Most Enjoyable Surroundings. Double Unit 6 Bed, Spacious Car Porch And Lawn."," Built in year: 2010 , Parking Spaces: 2 , Flooring , Floors: 2"," Bedrooms: 6 , Bathrooms: 7 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 1 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms: 2 , Steam Room , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled",hot,Islamabad-3-17,3/31/2019 23:28
418,Brand New 30x60 House For Sale With 5 Bedrooms In G13 Islamabad,"G-13, Islamabad, Islamabad Capital",House,PKR   2.5 Crore,"G-13, Islamabad, Islamabad Capital",5,7 Marla,For Sale,5,2 days ago,"Beautifully made house with elegant design on ideal location5 Bedrooms with attached washrooms Kitchen TV Lounge Drawing Room Car porch Separate Gas and Electricity meter Gas +Water supply +Water boreEquipped with all facilities Near to main Double Road and Kashmir HighwayAvailable at most reasonable priceMOUNT PAKISTAN, the most prestigious and trusted real estate agency and builders of PakistanPlease don’t hesitate to call for more information or to schedule a meeting with us"," Built in year: 2017 , Parking Spaces: 2 , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms , Bathrooms , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Other Business and Communication Facilities", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Other Facilities",,Islamabad-3-17,3/31/2019 23:28
